Ward,Neighbourhood Number,Neighbourhood Name,English Only,Arabic,Cantonese,French,German,Mandarin,North American Indigenous,Punjabi,Spanish,"Tagalog (Pilipino, Filipino)",Ukrainian,Other,No Response
WARD 5,4160,GARIEPY,482,0,8,10,4,1,0,0,3,3,5,41,180
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5570,WINDERMERE,1180,18,34,46,12,140,0,39,33,23,6,219,1386
WARD 3,2440,KLARVATTEN,803,52,109,37,4,37,1,7,33,44,25,158,551
WARD 3,2463,CRYSTALLINA NERA WEST,141,6,16,12,1,6,0,6,6,6,4,44,112
WARD 7,2420,KILLARNEY,785,80,15,35,16,10,13,25,38,41,36,128,472
WARD 10,5270,LENDRUM PLACE,392,0,0,12,8,14,0,2,7,3,6,30,345
WARD 12,6140,CRAWFORD PLAINS,762,4,9,22,9,5,0,98,24,28,4,69,393
WARD 11,6020,AVONMORE,615,0,5,25,21,1,0,1,9,8,4,23,256
WARD 7,2060,BELLEVUE,230,0,6,14,4,4,0,0,7,0,7,11,198
WARD 9,5463,DESROCHERS AREA,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4580,WEST JASPER PLACE,624,5,27,30,10,4,3,4,12,61,9,81,604
WARD 7,2090,BERGMAN,409,3,12,14,4,0,0,6,6,2,13,62,33
WARD 7,2330,HIGHLANDS,883,2,2,36,7,2,1,2,6,1,22,27,211
WARD 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
